Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre,gen_declarados,gen_detalle,gen_propuesta
Connekt Media (oRTB CTV),Mexico,the reunion,211440,tt1792543,movie,"Action,Drama",B,,comedy,comedia,"comedia!=accion-aventura,drama","accion,drama"
Select Plus PTE LTD (CTV),Mexico,desgracia,210080,tt0445953,movie,Drama,A,,action,accion,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Colombia,don't mess up our race,205120,tt14909626,movie,Drama,A,,action,accion,accion-aventura!=drama,drama
TCL ADS - Springserve,Argentina,merry birthday. happy christmas,203280,tt28480262,movie,Family,A,,Romance,romance,romance!=infantil-familia,infantil-familia
TCL ADS - Springserve,Argentina,summertime christmas,201120,tt1626240,movie,"Comedy,Family",A,,Drama,drama,"drama!=comedia,infantil-familia","comedia,infantil-familia"
Televisa Univision via SpringServe,Mexico,40 y 20,199200,tt5711512,tvSeries,Comedy,A,,News,noticias,noticias!=comedia,comedia
iion Pty Ltd,Argentina,mandíbulas letales,196160,tt4416518,movie,Horror,A,accion-aventura,Documentary,documental,"documental!=accion-aventura,terror","terror,accion-aventura"
TCL ADS - Springserve,Argentina,never give up,196080,tt19636694,movie,"Family,Sport",B,,Drama,drama,"drama!=deportes,infantil-familia","infantil-familia,deportes"
TCL ADS - Springserve,Argentina,clara's ultimate christmas,196080,tt6646106,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
TCL ADS - Springserve,Argentina,dutch season 2,195360,tt0101786,movie,"Comedy,Drama",B,,Action,accion,"accion-aventura!=comedia,drama","comedia,drama"
Select Plus PTE LTD (CTV),Mexico,all i ever wanted,193760,tt31556933,movie,Documentary,B,,crime,crimen,crimen-misterio!=documental,documental
Televisa Univision via SpringServe,Mexico,la familia p luche,193680,tt1244672,tvSeries,Comedy,A,,News,noticias,noticias!=comedia,comedia
TCL ADS - Springserve,Argentina,in the sea of grace,192240,tt33256421,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
Televisa Univision via SpringServe,Mexico,para volver a amar,152880,tt1699171,tvSeries,Drama,A,telenovela,News,noticias,"noticias!=drama,telenovela","drama,telenovela"
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,jajaja,148640,tt1452626,movie,"Comedy,Drama,Romance",A,,News,noticias,"noticias!=comedia,drama,romance","comedia,drama,romance"
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,telehit,148160,tt0471063,tvSeries,Music,A,,News,noticias,noticias!=musica,musica
TCL ADS - Springserve,Argentina,just us,145440,tt0305713,tvSeries,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
iion Pty Ltd,Mexico,made in hollywood,143360,tt0911896,tvSeries,"Documentary,Talk-Show",B,,"entertainment,comedy",entretenimiento;comedia,"comedia!=documental,talk show","entretenimiento,documental,talk show"
TCL ADS - Springserve,Argentina,shoelaces for christmas,142560,tt9134798,tvMovie,"Drama,Family,Romance",A,,Adventure,aventura,"accion-aventura!=drama,infantil-familia,romance","drama,infantil-familia,romance"
Vidaa,Mexico,el fuego inolvidable,141520,tt2206058,movie,Drama,A,,Sports,deportes,deportes!=drama,drama
TCL ADS - Springserve,Argentina,all about christmas eve,139440,tt2444354,tvMovie,"Comedy,Romance",A,,Adventure,aventura,"accion-aventura!=comedia,romance","comedia,romance"
TCL ADS - Springserve,Argentina,my best friend's christmas,138480,tt11230402,tvMovie,"Comedy,Drama,Romance",A,,Adventure,aventura,"accion-aventura!=comedia,drama,romance","comedia,drama,romance"
TCL ADS - Springserve,Argentina,judas,138240,tt9537450,tvSeries,"Biography,Crime,Drama",B,,Sci-Fi,sci-fi,"sci-fi!=crimen-misterio,documental,drama","documental,crimen,drama"
OTTera.tv,Argentina,a husband for christmas,134640,tt6111830,tvMovie,"Comedy,Drama,Romance",B,,Adventure,aventura,"accion-aventura!=comedia,drama,romance","comedia,drama,romance"
TCL ADS - Springserve,Argentina,grapes on a vine,134400,tt1094297,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Argentina,strip off,134160,tt19401064,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
TCL ADS - Springserve,Argentina,entanglement,132960,tt3534294,movie,"Comedy,Drama,Romance",B,,Action,accion,"accion-aventura!=comedia,drama,romance","comedia,drama,romance"
OTTera.tv,Argentina,the christmas gift,132240,tt5239710,tvMovie,"Drama,Family,Romance",B,,Adventure,aventura,"accion-aventura!=drama,infantil-familia,romance","drama,infantil-familia,romance"
Televisa Univision via SpringServe,Mexico,amores verdaderos,129360,tt2320524,tvSeries,"Drama,Romance",A,telenovela,News,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
TCL ADS - Springserve,Argentina,i killed molly monroe,129120,tt15765452,tvMiniSeries,Drama,A,,Documentary,documental,documental!=drama,drama
TCL ADS - Springserve,Argentina,a royal christmas ball,128400,tt7605144,tvMovie,"Drama,Romance",A,,Adventure,aventura,"accion-aventura!=drama,romance","drama,romance"
Televisa Univision via SpringServe,Mexico,como dice el dicho,126560,tt1831897,tvSeries,"Comedy,Drama",A,telenovela,News,noticias,"noticias!=comedia,drama,telenovela","comedia,drama,telenovela"
Vidaa,Mexico,dos aguas,126080,tt3603694,movie,Drama,A,,Sports,deportes,deportes!=drama,drama
TCL ADS - Springserve,Argentina,i killed solomon reid,118800,tt19393172,tvMiniSeries,Drama,A,,Documentary,documental,documental!=drama,drama
Equativ (Formerly SMART AdServer) - oRTB CTV,Colombia,el hijo pródigo,115840,tt0085211,movie,"Action,Comedy",B,,drama,drama,"drama!=accion-aventura,comedia","accion,comedia"
Kivi via Springserve,Mexico,show champion,114640,tt36593654,tvSeries,Music,A,,Talk Show,talk show,talk show!=musica,musica
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,sortilegio,111200,tt1439031,tvSeries,"Drama,Romance",B,telenovela,News,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
Televisa Univision via SpringServe,Mexico,nosotros los guapos,108960,tt7112114,tvSeries,Comedy,A,,News,noticias,noticias!=comedia,comedia
OTTera.tv,Argentina,natacha. la pelicula,99200,tt7658600,movie,Family,A,,Adventure,aventura,accion-aventura!=infantil-familia,infantil-familia
TCL ADS - Springserve,Argentina,love lust and money,94320,tt13582202,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
EXTE - Rich Audience (oRTB),Mexico,damage,91840,tt0104237,movie,"Drama,Romance",B,,Action,accion,"accion-aventura!=drama,romance","drama,romance"
FUNKE Digital GmbH | Publica,Mexico,amazonas legendarias,89760,tt2106514,movie,Action,A,,Horror,terror,terror!=accion-aventura,accion
Televisa Univision via SpringServe,Mexico,teresa,85920,tt1705090,tvSeries,"Drama,Romance",B,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
Select Plus PTE LTD (CTV),Mexico,favorite son,85920,tt13891980,movie,Drama,B,,family,infantil-familia,infantil-familia!=drama,drama
Televisa Univision via SpringServe,Mexico,pequenos gigantes,84240,tt1945875,tvSeries,"Family,Music,Reality-TV",B,,News,noticias,"noticias!=infantil-familia,musica,reality","infantil-familia,musica,reality"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,alien intervention,80800,tt15076688,movie,Sci-Fi,A,,Thriller,thriller,crimen-misterio!=sci-fi,sci-fi
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,amor de peluche,79520,tt1157600,movie,Family,A,,aventura,aventura,accion-aventura!=infantil-familia,infantil-familia
Vidaa,Mexico,no soy un asesino,79120,tt8271188,movie,"Crime,Thriller",A,,Western,western,western!=crimen-misterio,crimen
Televisa Univision via SpringServe,Mexico,una familia de diez,76320,tt0996011,tvSeries,"Comedy,Family,Romance",A,,News,noticias,"noticias!=comedia,infantil-familia,romance","comedia,infantil-familia,romance"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,código de honra,76320,tt4060866,movie,"Action,Crime,Thriller",B,drama,biography,documental,"documental!=accion-aventura,crimen-misterio,drama","accion,crimen,drama"
Canela Media via Springserve,Mexico,simón dice,73760,tt8777518,tvSeries,Comedy,B,,Horror,terror,terror!=comedia,comedia
Select Plus PTE LTD (CTV),Mexico,vampirina: teenage vampire,73440,tt34385400,tvSeries,"Adventure,Comedy,Family",A,,music,musica,"musica!=accion-aventura,comedia,infantil-familia","aventura,comedia,infantil-familia"
Select Plus PTE LTD (CTV),Mexico,electric bloom,73280,tt32252675,tvSeries,"Comedy,Drama,Family",A,,music,musica,"musica!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
AWG Media,Mexico,un largo y doloroso camino,70000,tt0437447,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
Televisa Univision via SpringServe,Mexico,la fuerza del destino,69840,tt0118055,movie,"Drama,Romance",B,,news,noticias,"noticias!=drama,romance","drama,romance"
Sony Pictures LATAM,Mexico,maria. madre del hijo de dios,67120,tt0380531,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
TCL ADS - Springserve,Argentina,the feared - irish gangsters,65040,tt12920668,movie,Documentary,A,,Crime,crimen,crimen-misterio!=documental,documental
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,north hollywood,64480,tt11165716,movie,"Comedy,Drama,Sport",B,,aventura,aventura,"accion-aventura!=comedia,deportes,drama","comedia,drama,deportes"
Select Plus PTE LTD (CTV),Argentina,al filo del mañana,64320,tt1631867,movie,"Action,Adventure,Sci-Fi",A,,drama,drama,"drama!=accion-aventura,sci-fi","accion,sci-fi"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,splat!,63360,tt0327940,movie,Action,B,,family,infantil-familia,infantil-familia!=accion-aventura,accion
TCL ADS - Springserve,Argentina,divorce: a journey through the kids' eyes trailer,61920,tt2547332,movie,Documentary,A,,"infotainment,education,family,kids",educacion;infantil-familia,infantil-familia!=documental,"educacion,documental"
Select Plus PTE LTD (CTV),Argentina,like dandelion dust,61600,tt0981042,movie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
TCL ADS - Springserve,Argentina,pets to the rescue: trailer,61200,tt0277954,movie,"Comedy,Family",A,,Adventure,aventura,"accion-aventura!=comedia,infantil-familia","comedia,infantil-familia"
Connekt Media (oRTB CTV),Mexico,sade,60480,tt0023369,movie,Drama,B,,acción,accion,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Argentina,the motherload,60320,tt40935136,movie,"Comedy,Drama,History",B,,war,belico,"accion-aventura!=comedia,documental,drama","comedia,drama,documental"
Select Plus PTE LTD (CTV),Mexico,my dog tulip,60160,tt0843358,movie,"Animation,Drama",A,,comedy,comedia,"comedia!=animacion,drama","animacion,drama"
Select Plus PTE LTD (CTV),Argentina,off screen,59520,tt0414200,movie,"Crime,Drama,Thriller",B,,fantasy,fantasia,"fantasia!=crimen-misterio,drama","crimen,drama"
OTTera.tv,Argentina,askari: trailer,59280,tt0284769,movie,"Drama,Family",B,,Adventure,aventura,"accion-aventura!=drama,infantil-familia","drama,infantil-familia"
Select Plus PTE LTD (CTV),Argentina,every time i die,59040,tt20751668,movie,Documentary,B,,drama,drama,drama!=documental,documental
Select Plus PTE LTD (CTV),Argentina,strange nature,58880,tt3113836,movie,"Drama,Horror,Mystery",A,,fantasy,fantasia,"fantasia!=crimen-misterio,drama,terror","drama,terror,misterio"
TCL ADs (APAC),Argentina,goombay kids season 2,58800,tt12551800,tvSeries,Family,A,,adventure,aventura,accion-aventura!=infantil-familia,infantil-familia
Select Plus PTE LTD (CTV),Argentina,partida,58560,tt29929273,movie,Drama,B,,kids,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Mexico,the incredible mrs. ritchie,58400,tt0296682,tvMovie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Select Plus PTE LTD (CTV),Argentina,the confidant,58240,tt1449394,movie,Thriller,B,,comedy,comedia,comedia!=crimen-misterio,thriller
FUNKE Digital GmbH | Publica,Mexico,el último vikingo,57840,tt0054423,movie,"Action,Adventure,War",B,,Horror,terror,terror!=accion-aventura,accion
Sony Pictures LATAM,Mexico,en un lugar del corazón,57680,tt0087921,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
Select Plus PTE LTD (CTV),Mexico,snake woman,57440,tt2350778,video,Horror,B,,fantasy,fantasia,fantasia!=terror,terror
AWG Media,Mexico,dos mujeres un camino,57280,tt0222547,tvSeries,Drama,A,telenovela,music,musica,"musica!=drama,telenovela","drama,telenovela"
OTTera.tv,Argentina,orthodox,56160,tt2781406,movie,"Crime,Drama",B,,Documentary,documental,"documental!=crimen-misterio,drama","crimen,drama"
Aluna Limited,Argentina,take out girl,55680,tt10816000,movie,Drama,A,,action,accion,accion-aventura!=drama,drama
Televisa Univision via SpringServe,Mexico,la fea mas bella,55680,tt0497152,tvSeries,"Comedy,Drama,Romance",A,telenovela,news,noticias,"noticias!=comedia,drama,romance,telenovela","comedia,drama,romance,telenovela"
Canela Media via Springserve,Mexico,mi vecina la buchona,55600,tt43661046,movie,Action,A,,Drama,drama,drama!=accion-aventura,accion
Select Plus PTE LTD (CTV),Mexico,teddy show,55520,tt38682799,movie,Drama,A,,family,infantil-familia,infantil-familia!=drama,drama
Connatix,Chile,fire with fire,55360,tt16898440,movie,Horror,B,,Drama,drama,drama!=terror,terror
Select Plus PTE LTD (CTV),Mexico,there's a stranger in my house,55360,tt1308046,movie,Musical,A,,comedy,comedia,comedia!=musica,musica
Connekt Media (oRTB CTV),Mexico,scarface renacido,55200,tt2028545,video,Action,A,,romance,romance,romance!=accion-aventura,accion
FUNKE Digital GmbH | Publica,Peru,the unusual,54960,tt27697018,short,"Horror,Short",A,,Comedy,comedia,comedia!=terror,terror
Select Plus PTE LTD (CTV),Mexico,the joan of arc case,54720,tt30507681,tvMovie,"Animation,Biography,Documentary",A,,war,belico,"accion-aventura!=animacion,documental","animacion,documental"
FUNKE Digital GmbH | Publica,Peru,what were they thinking?,54000,tt2786840,tvSeries,News,A,,Comedy,comedia,comedia!=noticias,noticias
OTTera.tv,Argentina,life & me,54000,tt29594199,movie,"Comedy,Drama",A,,Documentary,documental,"documental!=comedia,drama","comedia,drama"
Televisa Univision via SpringServe,Mexico,amor bravio,54000,tt2266983,tvSeries,"Drama,Romance",A,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
OTTera.tv,Argentina,a poucos passos de paris,53520,tt6194704,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
TCL ADS - Springserve,Argentina,aliens from outer space: ufo landings. crashes and retrievals trailer,53520,tt31456244,video,Documentary,A,,Sci-Fi,sci-fi,sci-fi!=documental,documental
TCL ADS - Springserve,Argentina,confessions of a hitman: the john childs story,52800,tt4764470,movie,Crime,A,,Documentary,documental,documental!=crimen-misterio,crimen
OTTera.tv,Argentina,tacada de mestre,52080,tt5190578,movie,"Family,Sport",A,,Drama,drama,"drama!=deportes,infantil-familia","infantil-familia,deportes"
OTTera.tv,Argentina,the occult: the truth behind the word trailer,50880,tt1863426,movie,Documentary,A,,Sci-Fi,sci-fi,sci-fi!=documental,documental
TCL ADS - Springserve,Argentina,boosters la,50400,tt6095406,movie,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
Televisa Univision via SpringServe,Mexico,esta historia me suena,50160,tt10540362,tvSeries,Drama,A,,news,noticias,noticias!=drama,drama
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,triunfo del amor,49760,tt1743281,tvSeries,"Drama,Romance,Thriller",A,telenovela,news,noticias,"noticias!=crimen-misterio,drama,romance,telenovela","drama,romance,thriller,telenovela"
OTTera.tv,Argentina,crepitus - o palhaço assassino,48960,tt5300736,movie,Horror,A,,Drama,drama,drama!=terror,terror
OTTera.tv,Argentina,alien implants: evidence of ufo abductions and encounters trailer,48480,tt27845272,video,Documentary,A,,Sci-Fi,sci-fi,sci-fi!=documental,documental
TCL ADS - Springserve,Chile,the ambassador,48320,tt0086884,movie,"Action,Drama,Thriller",B,,Documentary,documental,"documental!=accion-aventura,crimen-misterio,drama","accion,drama,thriller"
Televisa Univision via SpringServe,Mexico,una familia con suerte,48240,tt1853455,tvSeries,"Comedy,Drama,Family",A,telenovela,news,noticias,"noticias!=comedia,drama,infantil-familia,telenovela","comedia,drama,infantil-familia,telenovela"
OTTera.tv,Argentina,lola and virginia-ep01-onion trick,48240,tt1166121,tvSeries,"Animation,Family",A,comedia,"films&tvshows,tv series,drama,romance,youth",pelicula (generico);drama;romance,"drama!=animacion,comedia,infantil-familia","pelicula (generico),romance,animacion,infantil-familia,comedia"
OTTera.tv,Colombia,mustard pancakes episode 5 : a suitcase for mr. d,48000,tt0433725,tvSeries,Family,A,,"films&tvshows,tv series,adventure,fantasy,animation/cartoon",pelicula (generico);aventura;fantasia;animacion,accion-aventura!=infantil-familia,"pelicula (generico),fantasia,animacion,infantil-familia"
Connekt Media (oRTB CTV),Mexico,tempestad,47520,tt3800560,movie,Documentary,B,,acción,accion,accion-aventura!=documental,documental
OTTera.tv,Argentina,is that you? trailer,47280,tt3830420,movie,"Drama,Romance",B,,Adventure,aventura,"accion-aventura!=drama,romance","drama,romance"
Televisa Univision via SpringServe,Mexico,la que no podia amar,47280,tt2012381,tvSeries,"Drama,Romance",A,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
TCL ADS - Springserve,Argentina,alien portals: strange artifacts. devices and technology trailer,47040,tt28239692,video,Documentary,A,,Sci-Fi,sci-fi,sci-fi!=documental,documental
OTTera.tv,Argentina,beverly hills christmas,47040,tt4076824,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
TCL ADS - Springserve,Argentina,aliens within: the inner journey trailer,46560,tt31456319,video,Documentary,A,,Sci-Fi,sci-fi,sci-fi!=documental,documental
TCL ADS - Springserve,Argentina,top ten unsolved alien abductions,45840,tt31445132,video,Documentary,A,,Sci-Fi,sci-fi,sci-fi!=documental,documental
TCL ADS - Springserve,Argentina,aliens. cryptids and creatures. top ten real monsters trailer,44880,tt26933874,video,Documentary,A,,Sci-Fi,sci-fi,sci-fi!=documental,documental
TCL ADS - Springserve,Chile,abcs of death 2.5,44480,tt5647758,movie,"Comedy,Horror",A,,Documentary,documental,"documental!=comedia,terror","comedia,terror"
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,el gran robo,44000,tt1935194,movie,"Action,Adventure,Crime",B,,comedy,comedia,"comedia!=accion-aventura,crimen-misterio","accion,crimen"
OTTera.tv,Argentina,proverbs 31 trailer,42960,tt15030064,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Argentina,calais children: a case to answer,42480,tt7710476,movie,Documentary,A,,"reality tv,kids",reality;infantil-familia,infantil-familia!=documental,"reality,documental"
TCL ADS - Springserve,Argentina,color me you trailer,41760,tt5815160,movie,"Drama,Family,Romance",A,,Action,accion,"accion-aventura!=drama,infantil-familia,romance","drama,infantil-familia,romance"
TCL ADS - Springserve,Argentina,children of isis,41520,tt5585972,tvMovie,Documentary,A,,"reality tv,kids",reality;infantil-familia,infantil-familia!=documental,"reality,documental"
OTTera.tv,Argentina,darwin and newts ep10-nocturnal animals,40800,tt8713700,tvSeries,Animation,A,,"nature,kids education,tv series,adventure",documental;aventura,documental!=animacion;accion-aventura!=animacion,animacion
Connatix,Chile,hoax,39200,tt5580688,movie,Horror,B,,Documentary,documental,documental!=terror,terror
OTTera.tv,Argentina,swami ayyappan,38880,tt2335908,movie,"Action,Adventure,Animation",B,,"faith & family,entertainment,religion,biography,feature film",religion;infantil-familia;entretenimiento;documental,"documental!=accion-aventura,animacion","religion,infantil-familia,entretenimiento,accion,animacion"
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,monkey business,38560,tt0022158,movie,"Comedy,Family,Musical",B,,Adventure,aventura,"accion-aventura!=comedia,infantil-familia,musica","comedia,infantil-familia,musica"
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,amar,38240,tt3194532,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Argentina,matinee,37680,tt0107529,movie,"Comedy,Drama",B,terror,Adventure,aventura,"accion-aventura!=comedia,drama,terror","comedia,drama,terror"
