Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_detalle,ser_es,serie_propuesta
Scripps - FreeWheel,Puerto Rico,birds+of+a+feather,99680,tt3364152,movie,"Crime,Mystery,Thriller",B,,NCIS,IMDb movie Birds of a Feather (tt3364152),pelicula,
Scripps - FreeWheel,Puerto Rico,hoax,99360,tt5580688,movie,Horror,B,,SWAT,IMDb movie Hoax (tt5580688),pelicula,
Scripps - FreeWheel,Puerto Rico,haunted+house,99360,tt0032572,movie,"Comedy,Crime,Drama",B,,Chicago Fire,IMDb movie Haunted House (tt0032572),pelicula,
Scripps - FreeWheel,Puerto Rico,blues,98880,tt1117963,movie,Drama,B,,Blue Bloods,IMDb movie Blues (tt1117963),pelicula,
Scripps - FreeWheel,Puerto Rico,amber,98080,tt6756326,movie,"Action,Crime,Thriller",B,,SWAT,IMDb movie The Take Down (tt6756326),pelicula,
Scripps - FreeWheel,Puerto Rico,redemption,97920,tt0421206,movie,"Biography,Crime,Drama",B,,Blue Bloods,IMDb movie Gridiron Gang (tt0421206),pelicula,
Scripps - FreeWheel,Puerto Rico,the+plan,97760,tt37675364,movie,"Crime,Drama,Thriller",B,,NCIS,IMDb movie The Plan (tt37675364),pelicula,
Scripps - FreeWheel,Puerto Rico,take+a+knee,97120,tt6788512,movie,"Comedy,Drama",B,,Chicago Fire,IMDb movie The Hail Mary (tt6788512),pelicula,
Scripps - FreeWheel,Puerto Rico,true+blue,96800,tt0267989,movie,"Crime,Drama,Mystery",B,,Blue Bloods,IMDb movie True Blue (tt0267989),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,cecil,96560,tt2709962,movie,"Comedy,Family",B,,Una Nueva Oportunidad,IMDb movie Cecil (tt2709962),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,shirin enamorada,95920,tt2040504,movie,"Comedy,Romance",A,,The Good Doctor,IMDb movie Shirin in Love (tt2040504),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,te seguiré en la oscuridad,95440,tt2179087,movie,"Drama,Horror,Romance",A,crimen-misterio,The Good Doctor,IMDb movie I Will Follow You Into the Dark (tt2179087),pelicula,
FUNKE Digital GmbH | Publica,Peru,pets #3,95280,tt14230226,movie,"Comedy,Family",A,,Untamed Animals,IMDb movie Pets 3 (tt14230226),pelicula,
Scripps - FreeWheel,Puerto Rico,careful+what+you+wish+for,95200,tt1629242,movie,"Drama,Romance,Thriller",B,,Blue Bloods,IMDb movie Careful What You Wish For (tt1629242),pelicula,
OTTera.tv,Uruguay,horror,94240,tt0393635,movie,"Horror,Mystery,Thriller",B,,WDBJ News,IMDb movie Reeker (tt0393635),pelicula,
Scripps - FreeWheel,Puerto Rico,above+suspicion+part+2,92640,tt5688068,movie,"Action,Biography,Crime",B,,Law and Order SVU,IMDb movie Above Suspicion (tt5688068),pelicula,
Scripps - FreeWheel,Puerto Rico,atonement,92320,tt0783233,movie,"Drama,Mystery,Romance",B,accion-aventura,Blue Bloods,IMDb movie Atonement (tt0783233),pelicula,
Scripps - FreeWheel,Puerto Rico,keep+you+safe,92320,tt8694690,movie,Drama,B,,Chicago Fire,IMDb movie Keep You Safe (tt8694690),pelicula,
LG Ads EMEA - SS,Mexico,todavía estamos aquí,92080,tt3520418,movie,"Horror,Mystery",A,,Todavía estamos aquí,IMDb movie We Are Still Here (tt3520418),pelicula,
Scripps - FreeWheel,Puerto Rico,unfinished+business,91840,tt0783598,movie,"Crime,Drama,Thriller",B,accion-aventura,FBI,IMDb movie Until Death (tt0783598),pelicula,
Scripps - FreeWheel,Puerto Rico,double+red,90560,tt15348330,movie,Drama,A,,Chicago Fire,IMDb movie Double Red (tt15348330),pelicula,
Scripps - FreeWheel,Puerto Rico,escape+route,90560,tt0044596,movie,"Crime,Drama,Thriller",B,,Chicago Fire,IMDb movie I'll Get You (tt0044596),pelicula,
Connekt Media (oRTB CTV),Mexico,una navidad casi perfecta,90400,tt15047782,movie,"Comedy,Romance",A,,Rookie Blue,IMDb movie Perfect Messy Holiday (tt15047782),pelicula,
Scripps - FreeWheel,Puerto Rico,dead+of+winter,90240,tt0092842,movie,"Drama,Horror,Thriller",B,,Chicago Fire,IMDb movie Dead of Winter (tt0092842),pelicula,
Scripps - FreeWheel,Puerto Rico,mercy,89280,tt31050594,movie,"Action,Crime,Drama",B,sci-fi,Chicago PD,IMDb movie Mercy (tt31050594),pelicula,
Scripps - FreeWheel,Puerto Rico,misconduct,89280,tt3658772,movie,"Crime,Drama,Mystery",B,,NCIS,IMDb movie Misconduct (tt3658772),pelicula,
Scripps - FreeWheel,Puerto Rico,radical,89120,tt3239954,movie,"Crime,Thriller",B,,SWAT,IMDb movie Radical (tt3239954),pelicula,
Scripps - FreeWheel,Puerto Rico,hide+in+plain+sight,88960,tt0080868,movie,Drama,A,,Blue Bloods,IMDb movie Hide in Plain Sight (tt0080868),pelicula,
Scripps - FreeWheel,Puerto Rico,confession,88640,tt6407942,movie,"Drama,Mystery,Thriller",B,,Chicago PD,IMDb movie Confession (tt6407942),pelicula,
Scripps - FreeWheel,Puerto Rico,consequences,88480,tt3176134,movie,"Crime,Drama,Thriller",B,,FBI,IMDb movie Consequences (tt3176134),pelicula,
Media.Net,Puerto Rico,identity+crisis,87840,tt0089558,movie,"Crime,Drama,Horror",B,,FBI,IMDb movie Mark of Cain (tt0089558),pelicula,
Scripps - FreeWheel,Puerto Rico,true+believer,87360,tt0098524,movie,"Crime,Drama,Mystery",B,,NCIS,IMDb movie True Believer (tt0098524),pelicula,
LG Ads EMEA - SS,Mexico,de mujer a mujer,87200,tt0034386,movie,"Comedy,Drama,Romance",B,,burden of truth,IMDb movie When Ladies Meet (tt0034386),pelicula,
Scripps - FreeWheel,Puerto Rico,the+end,86880,tt1843287,movie,Drama,B,,Blue Bloods,IMDb movie Like Someone in Love (tt1843287),pelicula,
Scripps - FreeWheel,Puerto Rico,kangaroo,86240,tt0044788,movie,"Adventure,Crime,Drama",B,western,SWAT,IMDb movie Kangaroo (tt0044788),pelicula,
Televisa Univision via SpringServe,Mexico,rubi,85920,tt2418558,movie,"Adventure,Drama,Family",B,"crimen-misterio,fantasia,romance,sci-fi,terror",FIFA Club World Cup,IMDb movie Ruby Red (tt2418558),pelicula,
Scripps - FreeWheel,Puerto Rico,hunted,85920,tt0473356,movie,"Crime,Drama,Mystery",B,,SWAT,IMDb movie The Flock (tt0473356),pelicula,
Scripps - FreeWheel,Puerto Rico,in+the+name+of+the+father,85600,tt0107207,movie,"Biography,Crime,Drama",B,,Blue Bloods,IMDb movie In the Name of the Father (tt0107207),pelicula,
LG Ads EMEA - SS,Mexico,ella es un monstruo,85600,tt4680182,movie,"Comedy,Drama,Fantasy",A,"accion-aventura,crimen-misterio",The Good Doctor,IMDb movie Colossal (tt4680182),pelicula,
Scripps - FreeWheel,Puerto Rico,the+devil+you+know,85600,tt14591594,movie,"Crime,Drama,Mystery",B,,Blue Bloods,IMDb movie The Devil You Know (tt14591594),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,asteroid-a-geddon,85280,tt13298656,movie,"Action,Sci-Fi",A,,City Confidential,IMDb movie Asteroid-a-Geddon (tt13298656),pelicula,
Scripps - FreeWheel,Puerto Rico,reckless,85120,tt3346224,movie,"Drama,Thriller",B,,Blue Bloods,IMDb movie Zipper (tt3346224),pelicula,
FreeTV via Springserve,Mexico,lazos peligrosos,84640,tt0114666,movie,"Crime,Drama,Thriller",A,,El Archivista,IMDb movie The Tie That Binds (tt0114666),pelicula,
Scripps - FreeWheel,Puerto Rico,what+went+wrong,84480,tt10271638,movie,Drama,B,,Chicago Fire,IMDb movie What Went Wrong? (tt10271638),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,mía y el león blanco,83840,tt4844148,movie,"Adventure,Drama,Family",A,,Haven,IMDb movie Mia and the White Lion (tt4844148),pelicula,
Scripps - FreeWheel,Puerto Rico,under+siege,83520,tt0105690,movie,"Action,Thriller",B,,Under Siege,IMDb movie Under Siege (tt0105690),pelicula,
Scripps - FreeWheel,Puerto Rico,the+right+thing,83200,tt1555830,movie,"Comedy,Drama",B,,Chicago Fire,IMDb movie The Right Thing (tt1555830),pelicula,
Kidoodle OpenWrap OTT,Mexico,bebefinn sing-along movie: into the pinkfong world,83040,tt37510071,movie,"Adventure,Family,Music",A,,Bebefinn Sing-Along Movie: Into the Pinkfong World,IMDb movie Bebefinn Sing-Along Movie: Into the Pinkfong World (tt37510071),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,matar o morir,82720,tt0465602,movie,"Action,Comedy,Thriller",B,,Elton zockt,IMDb movie Shoot 'Em Up (tt0465602),pelicula,
Scripps - FreeWheel,Puerto Rico,mona+lisa,82560,tt0091538,movie,"Crime,Drama,Romance",B,,NCIS,IMDb movie Mona Lisa (tt0091538),pelicula,
Scripps - FreeWheel,Puerto Rico,the+real+deal,81600,tt0316473,movie,"Drama,Romance,Thriller",B,,Blue Bloods,IMDb movie The Real Deal (tt0316473),pelicula,
Kivi via Springserve,Mexico,el laberinto,81440,tt0935075,movie,Drama,B,,Unforgettable (Dubbed),IMDb movie Rabbit Hole (tt0935075),pelicula,
Scripps - FreeWheel,Puerto Rico,behind+the+smile,81440,tt0417477,movie,Drama,B,,Blue Bloods,IMDb movie Behind the Smile (tt0417477),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,uma mulher contra hitler,81440,tt0426578,movie,"Biography,Crime,Drama",A,,Modern Marvels,IMDb movie Sophie Scholl: The Final Days (tt0426578),pelicula,
Scripps - FreeWheel,Puerto Rico,victim,81280,tt0224345,movie,"Crime,Horror,Mystery",B,,FBI,IMDb movie Victim (tt0224345),pelicula,
Scripps - FreeWheel,Puerto Rico,law+of+the+jungle,81280,tt0114564,movie,"Action,Drama",B,,Chicago Fire,IMDb movie Street Law (tt0114564),pelicula,
Scripps - FreeWheel,Puerto Rico,the+first+day,81120,tt0166707,movie,"Crime,Drama",B,,NCIS,IMDb movie Midnight (tt0166707),pelicula,
FreeTV via Springserve,Mexico,boone: the bounty hunter,80800,tt3229488,movie,"Action,Drama",A,,Hilfe! Hochzeit!,IMDb movie Boone: The Bounty Hunter (tt3229488),pelicula,
Scripps - FreeWheel,Puerto Rico,past+tense,79360,tt3399888,movie,Drama,B,,Blue Bloods,IMDb movie Past Tense (tt3399888),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,masacre en el barrio chino,78480,tt0090728,movie,"Action,Adventure,Comedy",A,fantasia,The Good Doctor,IMDb movie Big Trouble in Little China (tt0090728),pelicula,
Kivi via Springserve,Mexico,el gran robo,78160,tt1935194,movie,"Action,Adventure,Crime",B,,The Perfect Couple (Dubbed),IMDb movie Overdrive (tt1935194),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,sacrifício,77680,tt1630564,movie,"Action,Thriller",B,drama,The Good Doctor,IMDb movie Sacrifice (tt1630564),pelicula,
Scripps - FreeWheel,Puerto Rico,thick+as+thieves,76640,tt1112782,movie,"Action,Crime,Thriller",B,,NCIS,IMDb movie The Code (tt1112782),pelicula,
Scripps - FreeWheel,Puerto Rico,milestones,75840,tt0073389,movie,"Drama,History",B,,Blue Bloods,IMDb movie Milestones (tt0073389),pelicula,
LG Ads EMEA - SS,Mexico,la profesora de inglés,75600,tt2055765,movie,"Comedy,Drama",B,,The Good Doctor,IMDb movie The English Teacher (tt2055765),pelicula,
LG Ads EMEA - SS,Mexico,capitán de rurales,75360,tt0042309,movie,"Action,Drama,War",A,,Chicos del Barrio,IMDb movie Capitán de rurales (tt0042309),pelicula,
Scripps - FreeWheel,Puerto Rico,old+friends,75040,tt0119822,movie,"Comedy,Drama,Romance",B,,Blue Bloods,IMDb movie As Good as It Gets (tt0119822),pelicula,
Scripps - FreeWheel,Puerto Rico,badlands,74400,tt0069762,movie,"Action,Crime,Drama",B,,Chicago Fire,IMDb movie Badlands (tt0069762),pelicula,
Kidoodle OpenWrap OTT,Mexico,la fuente mágica,74240,tt0056000,movie,"Comedy,Romance",A,drama,Tatty and Misifu (Español),IMDb movie Magic Fountain (tt0056000),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,fuera del menu,74160,tt6140580,movie,"Comedy,Romance",A,,Compañero de Cena,IMDb movie Off the Menu (tt6140580),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,king: rey de los simios,73760,tt0478188,movie,"Action,Adventure,Fantasy",A,terror,Alto! Señorita Hua,IMDb movie King of the Lost World (tt0478188),pelicula,
FUNKE Digital GmbH | Publica,Mexico,codigo de honor,72960,tt4060866,movie,"Action,Crime,Thriller",B,drama,CODE OF HONOR (ES),IMDb movie Code of Honor (tt4060866),pelicula,
Scripps - FreeWheel,Puerto Rico,sunburn,72800,tt0079966,movie,"Action,Comedy,Crime",B,,NCIS,IMDb movie Sunburn (tt0079966),pelicula,
Scripps - FreeWheel,Puerto Rico,home,72640,tt18266584,movie,"Crime,Drama",B,,SWAT,IMDb movie Home (tt18266584),pelicula,
Scripps - FreeWheel,Puerto Rico,ripple+effect,72480,tt0479140,movie,"Drama,Music",B,,Blue Bloods,IMDb movie Ripple Effect (tt0479140),pelicula,
Scripps - FreeWheel,Puerto Rico,deathtrap,72160,tt0083806,movie,"Comedy,Crime,Drama",B,,Chicago Fire,IMDb movie Deathtrap (tt0083806),pelicula,
FreeTV via Springserve,Mexico,doble muerte,72080,tt0441221,movie,"Crime,Thriller",A,,El Archivista,IMDb movie Doble muerte (tt0441221),pelicula,
LG Ads EMEA - SS,Mexico,adulterio,71360,tt0114345,movie,"Drama,Romance",B,,Ransom,IMDb movie The Scarlet Letter (tt0114345),pelicula,
Scripps - FreeWheel,Puerto Rico,disrupted,71040,tt6829882,movie,"Action,Drama,Mystery",B,,Blue Bloods,IMDb movie Disrupted (tt6829882),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,guadalajara es méxico,71040,tt0228353,movie,"Comedy,Drama,Romance",A,,Chicos del Barrio,IMDb movie Guadalajara es México (tt0228353),pelicula,
Scripps - FreeWheel,Puerto Rico,lineage,69920,tt42643217,movie,"Crime,Thriller",B,,FBI,IMDb movie Lineage (tt42643217),pelicula,
"SpringServe, LLC",Colombia,tempestad,69920,tt3800560,movie,Documentary,B,,Homes Under The Hammer,IMDb movie Tempestad (tt3800560),pelicula,
"NEW ID Co., Ltd.",Mexico,un día para sobrevivir,69120,tt1601913,movie,"Action,Adventure,Drama",A,crimen-misterio,Un Día para Sobrevivir,IMDb movie The Grey (tt1601913),pelicula,
Scripps - FreeWheel,Puerto Rico,alibi,68800,tt0047263,movie,"Crime,Drama,Film-Noir",B,,NCIS,IMDb movie Naked Alibi (tt0047263),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,pesadilla en el hotel normandie,67680,tt8102806,movie,"Horror,Mystery,Thriller",A,,Callejero Novato,IMDb movie The Night (tt8102806),pelicula,
Scripps - FreeWheel,Puerto Rico,us+marshals,67600,tt0120873,movie,"Action,Crime,Thriller",B,,US Marshals,IMDb movie U.S. Marshals (tt0120873),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,papá en renta,67520,tt1775357,movie,Family,A,comedia,Amor Inolvidable,IMDb movie Rent a Dad (tt1775357),pelicula,
Scripps - FreeWheel,Puerto Rico,happy+endings,67520,tt0361693,movie,"Comedy,Drama,Music",B,,Blue Bloods,IMDb movie Happy Endings (tt0361693),pelicula,
LG Ads EMEA - SS,Mexico,mientras somos jóvenes,67280,tt1791682,movie,"Comedy,Drama,Mystery",A,,The Good Doctor,IMDb movie While We're Young (tt1791682),pelicula,
Scripps - FreeWheel,Puerto Rico,ring+of+fire,66880,tt0055374,movie,"Action,Adventure,Crime",B,drama,FBI,IMDb movie Ring of Fire (tt0055374),pelicula,
LG Ads EMEA - SS,Mexico,hacia el fin del mundo,66800,tt2495104,movie,"Drama,Romance,Sci-Fi",B,,The Good Doctor,IMDb movie Parts Per Billion (tt2495104),pelicula,
Media.Net,Puerto Rico,the+forgotten,66240,tt0356618,movie,"Drama,Mystery,Sci-Fi",B,terror,Chicago PD,IMDb movie The Forgotten (tt0356618),pelicula,
Playworks (SpringServe),Mexico,strike,66080,tt0116778,movie,"Comedy,Sport",B,,strike,IMDb movie Kingpin (tt0116778),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,proyecto lazarus ,65680,tt0464041,movie,"Drama,Mystery,Thriller",A,terror,The Good Doctor,IMDb movie The Lazarus Project (tt0464041),pelicula,
LG Ads EMEA - SS,Mexico,amor en bali,64960,tt27651263,movie,"Comedy,Romance",A,,Ransom,IMDb movie Hearts of Bali (tt27651263),pelicula,
Scripps - FreeWheel,Puerto Rico,doubt,64960,tt0918927,movie,"Drama,Mystery",B,,Chicago PD,IMDb movie Doubt (tt0918927),pelicula,
Scripps - FreeWheel,Puerto Rico,off+the+grid,64800,tt27424511,movie,"Action,Drama",B,,Chicago Fire,IMDb movie Off the Grid (tt27424511),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,suite française: un amor prohibido,64640,tt0900387,movie,"Drama,History,Romance",A,,Haven,IMDb movie Suite Française (tt0900387),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,north hollywood,64480,tt11165716,movie,"Comedy,Drama,Sport",B,,The Good Doctor,IMDb movie North Hollywood (tt11165716),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,american sicario,64320,tt13322120,movie,"Action,Crime,Drama",A,,The Good Doctor,IMDb movie American Sicario (tt13322120),pelicula,
Scripps - FreeWheel,Puerto Rico,crossing+the+line,64000,tt6418918,movie,"Crime,Drama,Western",B,,NCIS,IMDb movie Little Woods (tt6418918),pelicula,
Scripps - FreeWheel,Puerto Rico,leave+no+trace,63200,tt19800112,movie,"Crime,Documentary",B,,NCIS,IMDb movie Leave No Trace (tt19800112),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,nunca cierres los ojos,62800,tt7026488,movie,"Horror,Sci-Fi",A,,Homes Under The Hammer,IMDb movie Come True (tt7026488),pelicula,
Scripps - FreeWheel,Puerto Rico,half+past+dead,62480,tt0297162,movie,"Action,Crime,Thriller",A,,Half Past Dead,IMDb movie Half Past Dead (tt0297162),pelicula,
Kivi via Springserve,Mexico,the show,62160,tt0114435,movie,"Documentary,Music",B,,BIGC,IMDb movie The Show (tt0114435),pelicula,
Scripps - FreeWheel,Puerto Rico,friendship+love+and+loyalty,61760,tt3256804,movie,Drama,A,,Blue Bloods,IMDb movie Friendship Love and Loyalty (tt3256804),pelicula,
Scripps - FreeWheel,Puerto Rico,monsters+and+men,61600,tt7689906,movie,"Crime,Drama,Thriller",B,,NCIS,IMDb movie Monsters and Men (tt7689906),pelicula,
Scripps - FreeWheel,Puerto Rico,scorched+earth,61600,tt30953867,movie,"Crime,Thriller",B,,Law and Order SVU,IMDb movie Scorched Earth (tt30953867),pelicula,
Scripps - FreeWheel,Puerto Rico,shooter,61280,tt2599878,movie,"Action,Crime,Drama",B,,NCIS,IMDb movie Operation Fryday (tt2599878),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,viral,61280,tt2597892,movie,"Drama,Horror,Sci-Fi",B,,Haven,IMDb movie Viral (tt2597892),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,furia,61200,tt2401807,movie,"Action,Thriller",B,,The Good Doctor,IMDb movie Rage (tt2401807),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,patitos feos,59840,tt7941932,movie,"Adventure,Comedy,Western",A,,Seguridad de Frontera: Canadá,IMDb movie Ugly Ducklings (tt7941932),pelicula,
Scripps - FreeWheel,Puerto Rico,street+revenge,59840,tt0841174,movie,"Action,Crime",A,,Law and Order SVU,IMDb movie Street Revenge (tt0841174),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,park,59680,tt0469519,movie,"Comedy,Drama",B,,The Good Doctor,IMDb movie Park (tt0469519),pelicula,
FreeTV via Springserve,Mexico,romance mortal,59280,tt0069186,movie,"Crime,Drama,Horror",A,,El Archivista,IMDb movie The Slasher ... Is the Sex Maniac! (tt0069186),pelicula,
Scripps - FreeWheel,Puerto Rico,by+hook+or+by+crook,59200,tt0290498,movie,"Crime,Drama,Romance",B,,Blue Bloods,IMDb movie By Hook or by Crook (tt0290498),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,por orden de desaparición,59040,tt2675914,movie,"Action,Comedy,Crime",A,drama,Haven,IMDb movie In Order of Disappearance (tt2675914),pelicula,
LG Ads EMEA - SS,Mexico,la fuerza de los humildes,59040,tt0270377,movie,"Adventure,Drama",A,,Chicos del Barrio,IMDb movie La fuerza de los humildes (tt0270377),pelicula,
