Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre_relleno,gen_declarados,gen_detalle,gen_propuesta
TCL ADS - Springserve,Argentina,formentera,59702160,tt1990232,movie,Drama,A,,Documentary,documental,documental!=drama,drama
OTTera.tv,Mexico,tennis+,30324000,tt2281489,short,"Comedy,Drama,Sci-Fi",B,,sports,deportes,"deportes!=comedia,drama,sci-fi","comedia,drama,sci-fi"
TCL ADS - Springserve,Argentina,machotaildrop,15271920,tt1315388,movie,"Action,Comedy,Fantasy",A,,Sports,deportes,"deportes!=accion-aventura,comedia,fantasia","accion,comedia,fantasia"
OTTera.tv,Mexico,penance lane,14728480,tt1964995,movie,Horror,A,,Drama,drama,drama!=terror,terror
OTTera.tv,Mexico,rollers: trailer,14696640,tt9124868,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
TCL ADS - Springserve,Argentina,the secret handshake,12543120,tt3519936,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Peru,crack,10295280,tt4424356,short,"Comedy,Crime,Drama",B,,Documentary,documental,"documental!=comedia,crimen-misterio,drama","comedia,crimen,drama"
"Coocaa, a SKYWORTH company",Argentina,beat monday,5994240,tt13584880,tvMiniSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
"Coocaa, a SKYWORTH company",Argentina,adam jones,5934240,tt2503944,movie,"Comedy,Drama",A,,Sports,deportes,"deportes!=comedia,drama","comedia,drama"
"Coocaa, a SKYWORTH company",Argentina,for my man,5933280,tt4864850,tvSeries,Crime,B,,Documentary,documental,documental!=crimen-misterio,crimen
"Coocaa, a SKYWORTH company",Argentina,the breakfast club,5912640,tt0088847,movie,"Comedy,Drama",B,infantil-familia,Reality,reality,"reality!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
"Coocaa, a SKYWORTH company",Argentina,shifting gears,5858080,tt31614348,tvSeries,Comedy,B,,sports & games,deportes;videojuegos,deportes!=comedia,"videojuegos,comedia"
OTTera.tv,Mexico,lost in the maze,5638080,tt29602142,movie,Documentary,A,,Adventure,aventura,accion-aventura!=documental,documental
OTTera.tv,Mexico,the buddy cop,5635360,tt20412912,movie,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
TCL ADS - Springserve,Argentina,grumpy grannies,4031040,tt19306948,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,sin's kitchen: trailer,3606080,tt0203912,movie,Drama,A,,"adventure,mystery",aventura;misterio,accion-aventura!=drama,"misterio,drama"
LG Ads EMEA - SS,Mexico,entertainment,3476480,tt8005846,short,"Drama,Musical,Short",B,,Local News,noticias,"noticias!=drama,musica","drama,musica"
"Coocaa, a SKYWORTH company",Argentina,meet the drapers season 8. episode 1,3327520,tt8300760,tvSeries,Reality-TV,A,,News,noticias,noticias!=reality,reality
OTTera.tv,Colombia,we three kings,2719360,tt13091334,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
Televisa Univision via SpringServe,Mexico,la rosa de guadalupe,2369040,tt1192302,tvSeries,Drama,A,telenovela,news,noticias,"noticias!=drama,telenovela","drama,telenovela"
OTTera.tv,Peru,13 score: trailer,2186400,tt3168890,movie,Horror,A,,Action,accion,accion-aventura!=terror,terror
OTTera.tv,Mexico,stray,2098880,tt11905922,movie,Documentary,B,,Drama,drama,drama!=documental,documental
OTTera.tv,Mexico,friends only,2076320,tt15680876,movie,"Drama,Romance",A,,Family,infantil-familia,"infantil-familia!=drama,romance","drama,romance"
OTTera.tv,Mexico,7 years,2074400,tt5517438,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,displaced,2041280,tt14717664,short,"Drama,Short",B,documental,Family,infantil-familia,"infantil-familia!=documental,drama","drama,documental"
OTTera.tv,Mexico,amityville: it's about time: trailer,1838240,tt0103678,video,Horror,A,,Action,accion,accion-aventura!=terror,terror
iion Pty Ltd,Mexico,rock band,1796960,tt2756040,movie,"Comedy,Music",B,,Drama,drama,"drama!=comedia,musica","comedia,musica"
iion Pty Ltd,Mexico,softness of bodies,1769440,tt6924682,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,craig's pathetic freakout,1647040,tt12115180,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,a story for happy,1626240,tt3884392,short,"Drama,Short",A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,brought to you by satan,1620160,tt10573278,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,a reasonable request,1616960,tt4702552,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,bitter sky,1615520,tt11418166,short,"Drama,Short",A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,countryside,1609600,tt26933627,movie,Drama,B,,Horror,terror,terror!=drama,drama
TCL ADS - Springserve,Argentina,should've put a ring on it,1543920,tt1941648,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,grudge race,1543520,tt6291472,tvSeries,Reality-TV,A,,Action,accion,accion-aventura!=reality,reality
OTTera.tv,Mexico,duck camp dinners season 2,1536800,tt35146256,tvSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
OTTera.tv,Mexico,we're still together,1533760,tt3755228,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,hot rod girls save the world,1522560,tt1399564,video,Sci-Fi,A,,Drama,drama,drama!=sci-fi,sci-fi
OTTera.tv,Mexico,chonda pierce: enough,1516480,tt6247064,movie,Documentary,A,,Comedy,comedia,comedia!=documental,documental
AWG Media,Mexico,el ingeniero,1512560,tt2241147,movie,Documentary,B,,Action,accion,accion-aventura!=documental,documental
OTTera.tv,Mexico,disturbed,1505440,tt0089881,movie,"Action,Drama,War",B,,Horror,terror,"terror!=accion-aventura,drama","accion,drama"
OTTera.tv,Mexico,first impression,1500960,tt9203202,tvMovie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,bang or die,1496960,tt21926038,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,victory by submission,1486560,tt4624104,movie,"Drama,Sport",A,,Action,accion,"accion-aventura!=deportes,drama","drama,deportes"
OTTera.tv,Mexico,the bigfoot diaries,1484160,tt1478440,movie,"Comedy,Documentary",A,,Horror,terror,"terror!=comedia,documental","comedia,documental"
OTTera.tv,Mexico,only god can,1482560,tt3589144,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,worst roommate ever,1464320,tt5746464,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
iion Pty Ltd,Colombia,juug gone wrong: trailer,859680,tt9063470,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
Televisa Univision via SpringServe,Mexico,rubi,813760,tt2418558,movie,"Adventure,Drama,Family",B,"crimen-misterio,fantasia,romance,sci-fi,terror",News,noticias,"noticias!=accion-aventura,crimen-misterio,drama,fantasia,infantil-familia,romance,sci-fi,terror","aventura,drama,infantil-familia,crimen-misterio,fantasia"
Select Plus PTE LTD (CTV),Mexico,black snow,578560,tt10515988,movie,"Horror,Mystery,Thriller",B,,Documentary,documental,"documental!=crimen-misterio,terror","terror,misterio"
Select Plus PTE LTD (CTV),Mexico,barking dogs,563680,tt10443658,short,"Drama,Short",B,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,underdog,551360,tt9493708,movie,"Action,Drama,Sport",B,,"documentary,documentary,horror,thriller,crime",documental;terror;thriller;crimen,"terror!=accion-aventura,deportes,drama","documental,thriller,crimen,accion,drama"
Vidaa,Mexico,hit list,533600,tt6844424,movie,Drama,B,,music,musica,musica!=drama,drama
Select Plus PTE LTD (CTV),Mexico,the golden voices,532000,tt8920490,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
Select Plus PTE LTD (CTV),Mexico,walk a mile in my pradas,530080,tt1645187,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
Select Plus PTE LTD (CTV),Mexico,heavenquest: a pilgrim's progress,521440,tt5167200,movie,"Action,Adventure,Fantasy",A,,Drama,drama,"drama!=accion-aventura,fantasia","accion,fantasia"
Televisa Univision via SpringServe,Mexico,amor real,441920,tt0341281,tvSeries,"Drama,Romance",B,telenovela,news,noticias,"noticias!=drama,romance,telenovela","drama,romance,telenovela"
TCL ADs (APAC),Ecuador,animals,438000,tt1298530,movie,"Drama,Fantasy",B,,"nature,documentary",documental,"documental!=drama,fantasia","drama,fantasia"
Televisa Univision via SpringServe,Mexico,historias de ultratumba,396960,tt5516328,movie,"Drama,Horror,Mystery",B,,reality,reality,"reality!=crimen-misterio,drama,terror","drama,terror,misterio"
OTTera.tv,Colombia,monster,374400,tt0468492,movie,"Drama,Horror,Sci-Fi",B,comedia,Anime,anime,"animacion!=comedia,drama,sci-fi,terror","drama,terror,sci-fi,comedia"
