Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
Vidaa,Mexico,rebelde,59294160,tt14153686,tvSeries,"Comedy,Drama,Music",B,infantil-familia,Not Available,serie,imdb,rebelde,,
iion Pty Ltd,Colombia,animacars season 2,30366080,tt10051414,tvSeries,Animation,C,,Not Available,serie,titulo,animacars,2,
iion Pty Ltd,Mexico,haus of horror,17816960,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
Vidaa,Mexico,las hijas de la senora garcia,15627200,tt32872848,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,las hijas de la senora garcia,,
Televisa Univision via SpringServe,Mexico,mi corazon es tuyo,13290000,tt3825904,tvSeries,"Comedy,Romance",A,telenovela,Not Available,serie,imdb,mi corazon es tuyo,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,lazos de amor,13176640,tt0210426,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,lazos de amor,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,amor real,11098960,tt0341281,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,amor real,,
Televisa Univision via SpringServe,Mexico,la que no podia amar,9675840,tt2012381,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,la que no podia amar,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,gata salvaje,9064480,tt0327759,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,gata salvaje,,
OTTera.tv,Mexico,cashpoint,8529600,tt5949660,tvSeries,Comedy,B,,Not Available,serie,imdb,cashpoint,,
Vidaa,Mexico,amar a muerte,6158080,tt8682608,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,amar a muerte,,
OTTera.tv,Mexico,something scary season 1,6064480,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,1,
Vidaa  APAC Hisense Headquarter,Mexico,tan cerca de ti nace el amor,5225440,tt41335829,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,tan cerca de ti nace el amor,,
iion Pty Ltd,Mexico,rider,4238000,tt4215810,movie,Thriller,D,,Not Available,serie,intra_titulo,rider,,
